pwsid,supply_name,lead_lines,gpcl_lines,non_lead_lines,unknown_lines,total_lines,calc_total,inventory_status,total_mismatch
MI0004740   ,NILES,414.0,8.0,4254.0,969.0,5645.0,5645.0,complete,False
MI0004750   ,NILES TOWNSHIP,0.0,0.0,689.0,0.0,689.0,689.0,complete,False
MI0004753   ,NINE MILE POINTE,0.0,0.0,10.0,0.0,10.0,10.0,complete,False
MI0004754   ,WESTERN PINES APARTMENTS,,,,,,0.0,incomplete,False
MI0004760   ,PENNFIELD TOWNSHIP,0.0,2.0,663.0,0.0,665.0,665.0,complete,False
MI0004770   ,"NORTH BRANCH, VILLAGE OF",0.0,0.0,351.0,51.0,402.0,402.0,complete,False
MI0004775   ,ISHPEMING TWP - EAST,0.0,0.0,134.0,0.0,134.0,134.0,complete,False
MI0004778   ,ARBOR VIEW,0.0,0.0,14.0,0.0,14.0,14.0,complete,False
MI0004780   ,NORTH MUSKEGON,692.0,461.0,479.0,0.0,1632.0,1632.0,complete,False
MI0004800   ,UPPER MICHIGAN WATER COMPANY,8.0,0.0,2750.0,0.0,2758.0,2758.0,complete,False
MI0004810   ,"NORTHPORT, VILLAGE OF",0.0,2.0,325.0,38.0,365.0,365.0,complete,False
MI0004820   ,NORTHPORT COTTAGE OWNERS,0.0,0.0,94.0,0.0,94.0,94.0,complete,False
MI0004830   ,NORTHVILLE,3.0,193.0,2087.0,276.0,2559.0,2559.0,complete,False
MI0004845   ,NORTHVILLE TOWNSHIP,0.0,0.0,8975.0,0.0,8975.0,8975.0,complete,False
MI0004847   ,NORTHWEST OTTAWA CO WATER SYST,0.0,0.0,0.0,0.0,0.0,0.0,complete,False
MI0004850   ,NORTON SHORES,60.0,134.0,8646.0,0.0,8840.0,8840.0,complete,False
MI0004860   ,NORWAY,2.0,271.0,33.0,1220.0,1526.0,1526.0,complete,False
MI0004870   ,"NOVI, CITY OF",0.0,0.0,10334.0,4742.0,15076.0,15076.0,complete,False
MI0004873   ,OAK HAVEN,0.0,0.0,19.0,0.0,19.0,19.0,complete,False
MI0004874   ,OAK LEAF MANOR,0.0,0.0,3.0,0.0,3.0,3.0,complete,False
MI0004876   ,OAK LANE APARTMENTS,0.0,0.0,2.0,0.0,2.0,2.0,complete,False
MI0004877   ,SOUTHEAST OAKLAND TOWNSHIP,0.0,0.0,797.0,0.0,797.0,797.0,complete,False
MI0004878   ,SOUTHWEST OAKLAND TOWNSHIP,0.0,0.0,2066.0,0.0,2066.0,2066.0,complete,False
