pwsid,year,county_for_checking,lines_replaced
MI0007210,2023,WAYNE,27
MI0007210,2024,WAYNE,75
MI0007220,2021,KENT,2
MI0007260,2021,WASHTENAW,20
MI0007260,2022,WASHTENAW,67
MI0007260,2023,WASHTENAW,18
MI0007260,2024,WASHTENAW,22
MI0007270,2021,OTTAWA,81
MI0007270,2022,OTTAWA,138
MI0007270,2023,OTTAWA,246
MI0007270,2024,OTTAWA,133
