pwsid,year,county_for_checking,lines_replaced
MI0002790,2021,KENT,640
MI0002790,2022,KENT,946
MI0002790,2023,KENT,2478
MI0002790,2024,KENT,1419
MI0002820,2023,KENT,29
MI0002820,2024,KENT,44
MI0002830,2024,JACKSON,2
MI0002840,2021,CRAWFORD,1
MI0002840,2024,CRAWFORD,1
MI0002850,2021,MONTCALM,20
MI0002850,2023,MONTCALM,40
MI0002850,2024,MONTCALM,7
MI0002870,2021,WAYNE,3
MI0002870,2022,WAYNE,2
MI0002870,2023,WAYNE,1
MI0002870,2024,WAYNE,2
MI0002880,2021,WAYNE,24
MI0002880,2023,WAYNE,35
MI0002880,2024,WAYNE,26
MI0002890,2021,WAYNE,14
MI0002890,2022,WAYNE,14
MI0002890,2023,WAYNE,14
MI0002890,2024,WAYNE,14
MI0002900,2021,WAYNE,2
MI0002900,2022,WAYNE,6
MI0002900,2023,WAYNE,7
MI0002900,2024,WAYNE,81
MI0002920,2021,WAYNE,3
MI0002920,2022,WAYNE,36
MI0002920,2023,WAYNE,25
MI0002920,2024,WAYNE,4
MI0002960,2021,BAY,6
MI0002960,2023,BAY,7
MI0002970,2021,WAYNE,179
MI0002970,2022,WAYNE,361
MI0002970,2023,WAYNE,429
MI0002970,2024,WAYNE,790
MI0003000,2022,HURON,4
MI0003000,2023,HURON,3
MI0003000,2024,HURON,5
MI0003020,2021,WAYNE,8
MI0003020,2022,WAYNE,10
MI0003020,2023,WAYNE,10
MI0003030,2022,CLARE,2
MI0003030,2023,CLARE,17
MI0003030,2024,CLARE,5
MI0003060,2021,OCEANA,5
MI0003060,2023,OCEANA,7
MI0003060,2024,OCEANA,53
MI0003070,2023,VAN BUREN,25
MI0003090,2021,BARRY,9
MI0003090,2022,BARRY,7
MI0003090,2023,BARRY,34
MI0003090,2024,BARRY,62
MI0003100,2021,OAKLAND,32
MI0003100,2022,OAKLAND,29
MI0003100,2023,OAKLAND,31
MI0003100,2024,OAKLAND,80
MI0003130,2021,NEWAYGO,3
MI0003130,2023,NEWAYGO,7
MI0003140,2021,WAYNE,59
MI0003140,2022,WAYNE,365
MI0003140,2023,WAYNE,12
MI0003140,2024,WAYNE,12
MI0003170,2021,HILLSDALE,49
MI0003170,2022,HILLSDALE,21
MI0003170,2023,HILLSDALE,127
MI0003170,2024,HILLSDALE,88
MI0003190,2021,OTTAWA,71
MI0003190,2022,OTTAWA,113
MI0003190,2023,OTTAWA,118
MI0003190,2024,OTTAWA,86
MI0003195,2022,OTTAWA,2
MI0003250,2021,LIVINGSTON,23
MI0003250,2022,LIVINGSTON,6
MI0003250,2024,LIVINGSTON,4
MI0003270,2024,HOUGHTON,1
MI0003280,2022,LENAWEE,1
MI0003280,2023,LENAWEE,3
MI0003280,2024,LENAWEE,1
MI0003310,2021,OAKLAND,27
MI0003310,2022,OAKLAND,4
MI0003340,2021,LAPEER,3
MI0003360,2021,WAYNE,67
MI0003360,2022,WAYNE,77
MI0003360,2023,WAYNE,114
MI0003360,2024,WAYNE,88
MI0003370,2024,IONIA,16
MI0003390,2021,ST. CLAIR,6
MI0003390,2022,ST. CLAIR,4
MI0003390,2024,ST. CLAIR,1
MI0003400,2021,DICKINSON,53
MI0003400,2022,DICKINSON,10
MI0003400,2023,DICKINSON,17
MI0003400,2024,DICKINSON,46
MI0003410,2021,IRON,11
MI0003410,2022,IRON,1
MI0003410,2023,IRON,7
MI0003410,2024,IRON,3
MI0003420,2021,GOGEBIC,79
MI0003420,2022,GOGEBIC,43
MI0003420,2023,GOGEBIC,91
