pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month
MI0000020,ADAMS TOWNSHIP,HOUGHTON,2010.0,2019-12-31,1.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0000020,ADAMS TOWNSHIP,HOUGHTON,2010.0,2022-12-31,1.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0003857,ADDINGTON PLACE OF DEWITT,CLINTON,39.0,2016-12-31,0.0,N,2019-09-30 00:00:00,2016.0,12.0
MI0003857,ADDINGTON PLACE OF DEWITT,CLINTON,39.0,2019-12-31,1.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0003857,ADDINGTON PLACE OF DEWITT,CLINTON,39.0,2022-12-31,0.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0000030,ADDISON,LENAWEE,605.0,2018-12-31,6.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0000030,ADDISON,LENAWEE,605.0,2021-12-31,3.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000030,ADDISON,LENAWEE,605.0,2022-12-31,4.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000030,ADDISON,LENAWEE,605.0,2023-12-31,2.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000040,ADRIAN,LENAWEE,21133.0,2017-12-31,0.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0000040,ADRIAN,LENAWEE,21133.0,2020-12-31,0.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000040,ADRIAN,LENAWEE,23663.0,2023-12-31,0.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000050,AHMEEK,KEWEENAW,148.0,2019-06-30,1.0,N,2019-12-31 00:00:00,2019.0,6.0
MI0000050,AHMEEK,KEWEENAW,148.0,2019-12-31,1.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0000050,AHMEEK,KEWEENAW,148.0,2022-12-31,0.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0000070,AKRON,TUSCOLA,402.0,2016-12-31,5.0,N,2019-09-30 00:00:00,2016.0,12.0
MI0000070,AKRON,TUSCOLA,402.0,2019-12-31,2.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0000070,AKRON,TUSCOLA,402.0,2022-12-31,1.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0000072,AKRON TOWNSHIP,TUSCOLA,219.0,2019-06-30,0.0,N,2019-12-31 00:00:00,2019.0,6.0
MI0000072,AKRON TOWNSHIP,TUSCOLA,219.0,2019-12-31,0.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0000072,AKRON TOWNSHIP,TUSCOLA,219.0,2020-12-31,0.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000072,AKRON TOWNSHIP,TUSCOLA,219.0,2021-12-31,0.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000072,AKRON TOWNSHIP,TUSCOLA,219.0,2022-12-31,1.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000072,AKRON TOWNSHIP,TUSCOLA,219.0,2023-12-31,0.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000082,ALABASTER TOWNSHIP,IOSCO,86.0,2018-12-31,0.0,N,2019-06-30 00:00:00,2018.0,12.0
MI0000082,ALABASTER TOWNSHIP,IOSCO,86.0,2019-06-30,0.0,N,2022-09-30 00:00:00,2019.0,6.0
MI0000082,ALABASTER TOWNSHIP,IOSCO,86.0,2022-12-31,2.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0060085,ALAMO NURSING HOME,KALAMAZOO,100.0,2018-12-31,1.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0060085,ALAMO NURSING HOME,KALAMAZOO,100.0,2021-12-31,1.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0040458,ALAN'S PARK - DURAND,SHIAWASSEE,50.0,2018-12-31,0.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0040458,ALAN'S PARK - DURAND,SHIAWASSEE,50.0,2021-12-31,0.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0040319,ALAN'S PARK - FOWLERVILLE,LIVINGSTON,498.0,2016-06-30,0.0,N,2019-09-30 00:00:00,2016.0,6.0
MI0040319,ALAN'S PARK - FOWLERVILLE,LIVINGSTON,498.0,2019-12-31,2.0,N,2022-09-30 00:00:00,2019.0,12.0
