base_pwsid,resolved_pwsid,system_name,display_name,county,monitoring_end_date,year,lead_90th_ppb,above_action_level,lines_replaced,inventory_year,inventory_lead,inventory_gpcl,inventory_unknown,total_to_identify_or_replace,inventory_complete_flag
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2022-12-31,2022,1.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0000072,MI0000072,AKRON TOWNSHIP,AKRON TOWNSHIP,TUSCOLA,2024-12-31,2024,0.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2018-12-31,2018,0.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2019-06-30,2019,0.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2022-12-31,2022,2.0,False,,2025.0,,,,,
MI0000082,MI0000082,ALABASTER TOWNSHIP,ALABASTER TOWNSHIP,IOSCO,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2016-12-31,2016,2.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2021-12-31,2021,1.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2022-12-31,2022,2.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0000088,MI0000088,ALBEE TOWNSHIP,ALBEE TOWNSHIP,SAGINAW,2024-12-31,2024,0.0,False,,2025.0,,,,,
MI0000090,MI0000090,FORD FORESTRY CENTER,FORD FORESTRY CENTER,BARAGA,2023-06-30,2023,5.0,False,,2025.0,,,,,
MI0000090,MI0000090,FORD FORESTRY CENTER,FORD FORESTRY CENTER,BARAGA,2023-12-31,2023,3.0,False,,2025.0,,,,,
MI0000090,MI0000090,FORD FORESTRY CENTER,FORD FORESTRY CENTER,BARAGA,2024-06-30,2024,5.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2018-12-31,2018,1.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2019-06-30,2019,1.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2019-12-31,2019,0.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2020-06-30,2020,0.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2021-06-30,2021,0.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2022-06-30,2022,0.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2023-06-30,2023,0.0,False,4.0,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2023-12-31,2023,0.0,False,4.0,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2024-06-30,2024,0.0,False,3.0,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2024-12-31,2024,1.0,False,3.0,2025.0,,,,,
MI0000100,MI0000100,ALBION,ALBION,CALHOUN,2025-12-31,2025,1.0,False,,2025.0,609.0,18.0,0.0,627.0,True
MI0000110,MI0000110,"ALGONAC, CITY OF","ALGONAC, CITY OF",ST CLAIR,2017-12-31,2017,4.0,False,,2025.0,,,,,
MI0000110,MI0000110,"ALGONAC, CITY OF","ALGONAC, CITY OF",ST. CLAIR,2020-12-31,2020,2.0,False,,2025.0,,,,,
MI0000110,MI0000110,"ALGONAC, CITY OF","ALGONAC, CITY OF",ST. CLAIR,2023-12-31,2023,2.0,False,2.0,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2018-12-31,2018,1.0,False,,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2019-12-31,2019,4.0,False,,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2020-12-31,2020,2.0,False,,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2021-12-31,2021,5.0,False,12.0,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2022-06-30,2022,3.0,False,17.0,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2023-12-31,2023,1.0,False,243.0,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2024-12-31,2024,0.0,False,124.0,2025.0,,,,,
MI0000120,MI0000120,ALLEGAN,ALLEGAN,ALLEGAN,2025-12-31,2025,2.0,False,,2025.0,631.0,433.0,1.0,1065.0,True
MI0000125,MI0000125,ALLEGAN COUNTY SERVICES CENTER,ALLEGAN COUNTY SERVICES CENTER,ALLEGAN,2018-12-31,2018,2.0,False,,2025.0,,,,,
MI0000125,MI0000125,ALLEGAN COUNTY SERVICES CENTER,ALLEGAN COUNTY SERVICES CENTER,ALLEGAN,2021-12-31,2021,5.0,False,,2025.0,,,,,
MI0000125,MI0000125,ALLEGAN COUNTY SERVICES CENTER,ALLEGAN COUNTY SERVICES CENTER,ALLEGAN,2024-12-31,2024,4.0,False,,2025.0,,,,,
MI0000127,MI0000127,ALLENDALE TOWNSHIP,ALLENDALE TOWNSHIP,OTTAWA,2016-12-31,2016,1.0,False,,2025.0,,,,,
MI0000127,MI0000127,ALLENDALE TOWNSHIP,ALLENDALE TOWNSHIP,OTTAWA,2019-12-31,2019,0.0,False,,2025.0,,,,,
MI0000127,MI0000127,ALLENDALE TOWNSHIP,ALLENDALE TOWNSHIP,OTTAWA,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000127,MI0000127,ALLENDALE TOWNSHIP,ALLENDALE TOWNSHIP,OTTAWA,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0000127,MI0000127,ALLENDALE TOWNSHIP,ALLENDALE TOWNSHIP,OTTAWA,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000127,MI0000127,ALLENDALE TOWNSHIP,ALLENDALE TOWNSHIP,OTTAWA,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0000127,MI0000127,ALLENDALE TOWNSHIP,ALLENDALE TOWNSHIP,OTTAWA,2024-12-31,2024,0.0,False,,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2017-12-31,2017,1.0,False,,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2019-12-31,2019,12.0,False,,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2020-12-31,2020,7.0,False,,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2021-12-31,2021,11.0,False,8.0,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2022-12-31,2022,14.0,True,55.0,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2023-12-31,2023,11.0,False,15.0,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2024-12-31,2024,11.0,False,43.0,2025.0,,,,,
MI0000130,MI0000130,ALLEN PARK,ALLEN PARK,WAYNE,2025-12-31,2025,9.0,False,,2025.0,236.0,0.0,0.0,236.0,True
MI0000140,MI0000140,"ALMA, CITY OF","ALMA, CITY OF",GRATIOT,2017-12-31,2017,0.0,False,,2025.0,,,,,
MI0000140,MI0000140,"ALMA, CITY OF","ALMA, CITY OF",GRATIOT,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000140,MI0000140,"ALMA, CITY OF","ALMA, CITY OF",GRATIOT,2023-12-31,2023,0.0,False,6.0,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2017-12-31,2017,0.0,False,,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2019-12-31,2019,0.0,False,,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2021-12-31,2021,0.0,False,7.0,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2022-12-31,2022,0.0,False,20.0,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2024-12-31,2024,0.0,False,3.0,2025.0,,,,,
MI0000150,MI0000150,"ALMONT, VILLAGE OF","ALMONT, VILLAGE OF",LAPEER,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,16.0,16.0,True
MI0000160,MI0000160,"ALPENA, CITY OF","ALPENA, CITY OF",ALPENA,2017-12-31,2017,2.0,False,,2025.0,,,,,
MI0000160,MI0000160,"ALPENA, CITY OF","ALPENA, CITY OF",ALPENA,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000160,MI0000160,"ALPENA, CITY OF","ALPENA, CITY OF",ALPENA,2022-12-31,2022,0.0,False,14.0,2025.0,,,,,
MI0000160,MI0000160,"ALPENA, CITY OF","ALPENA, CITY OF",ALPENA,2022-12-31,2022,0.0,False,14.0,2025.0,,,,,
MI0000160,MI0000160,"ALPENA, CITY OF","ALPENA, CITY OF",ALPENA,2025-12-31,2025,3.0,False,,2025.0,7.0,76.0,4022.0,4105.0,True
MI0000170,MI0000170-a,ALPENA TOWNSHIP,ALPENA TOWNSHIP,ALPENA,2017-12-31,2017,3.0,False,,2025.0,,,,,
MI0000170,MI0000170-a,ALPENA TOWNSHIP,ALPENA TOWNSHIP,ALPENA,2019-12-31,2019,0.0,False,,2025.0,,,,,
MI0000170,MI0000170-a,ALPENA TOWNSHIP,ALPENA TOWNSHIP,ALPENA,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000170,MI0000170-b,CHARTER TOWNSHIP OF ALPENA,CHARTER TOWNSHIP OF ALPENA,ALPENA,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0000170,MI0000170-b,CHARTER TOWNSHIP OF ALPENA,CHARTER TOWNSHIP OF ALPENA,ALPENA,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000180,MI0000180,ALPHA,ALPHA,IRON,2017-12-31,2017,1.0,False,,2025.0,,,,,
MI0000180,MI0000180,ALPHA,ALPHA,IRON,2020-12-31,2020,2.0,False,,2025.0,,,,,
MI0000180,MI0000180,ALPHA,ALPHA,IRON,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0000200,MI0000200,HEMATITE TOWNSHIP,HEMATITE TOWNSHIP,IRON,2019-06-30,2019,2.0,False,,2025.0,,,,,
MI0000200,MI0000200,HEMATITE TOWNSHIP,HEMATITE TOWNSHIP,IRON,2019-12-31,2019,3.0,False,,2025.0,,,,,
MI0000200,MI0000200,HEMATITE TOWNSHIP,HEMATITE TOWNSHIP,IRON,2022-12-31,2022,2.0,False,,2025.0,,,,,
MI0000200,MI0000200,HEMATITE TOWNSHIP,HEMATITE TOWNSHIP,IRON,2025-12-31,2025,5.0,False,,2025.0,0.0,0.0,0.0,0.0,False
MI0000210,MI0000210,ANDREWS UNIVERSITY,ANDREWS UNIVERSITY,BERRIEN,2018-12-31,2018,2.0,False,,2025.0,,,,,
MI0000210,MI0000210,ANDREWS UNIVERSITY,ANDREWS UNIVERSITY,BERRIEN,2021-12-31,2021,0.0,False,,2025.0,,,,,
MI0000210,MI0000210,ANDREWS UNIVERSITY,ANDREWS UNIVERSITY,BERRIEN,2024-12-31,2024,1.0,False,,2025.0,,,,,
MI0000215,MI0000215,ANDELINA FARMS,ANDELINA FARMS,WASHTENAW,2022-12-31,2022,11.0,False,,2025.0,,,,,
MI0000215,MI0000215,ANDELINA FARMS,ANDELINA FARMS,WASHTENAW,2023-06-30,2023,4.0,False,,2025.0,,,,,
MI0000215,MI0000215,ANDELINA FARMS,ANDELINA FARMS,WASHTENAW,2024-12-31,2024,2.0,False,,2025.0,,,,,
MI0000215,MI0000215,ANDELINA FARMS,ANDELINA FARMS,WASHTENAW,2025-12-31,2025,7.0,False,,2025.0,0.0,0.0,,,False
MI0000220,MI0000220,ANN ARBOR,ANN ARBOR,WASHTENAW,2017-12-31,2017,3.0,False,,2025.0,,,,,
MI0000220,MI0000220,ANN ARBOR,ANN ARBOR,WASHTENAW,2020-12-31,2020,1.0,False,,2025.0,,,,,
MI0000220,MI0000220,ANN ARBOR,ANN ARBOR,WASHTENAW,2023-12-31,2023,2.0,False,103.0,2025.0,,,,,
MI0000220,MI0000220,ANN ARBOR,ANN ARBOR,WASHTENAW,2023-12-31,2023,2.0,False,103.0,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2017-12-31,2017,1.0,False,,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2019-12-31,2019,1.0,False,,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2021-12-31,2021,3.0,False,,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2022-12-31,2022,2.0,False,,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2023-12-31,2023,1.0,False,,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2024-12-31,2024,1.0,False,,2025.0,,,,,
MI0000221,MI0000221,ANN ARBOR TOWNSHIP,ANN ARBOR TOWNSHIP,WASHTENAW,2025-12-31,2025,0.0,False,,2025.0,0.0,0.0,0.0,0.0,True
MI0000236,MI0000236,ARBOR RIDGE CONDOMINIUMS,ARBOR RIDGE CONDOMINIUMS,JACKSON,2018-12-31,2018,3.0,False,,2025.0,,,,,
MI0000236,MI0000236,ARBOR RIDGE CONDOMINIUMS,ARBOR RIDGE CONDOMINIUMS,JACKSON,2019-09-30,2019,44.0,True,,2025.0,,,,,
MI0000236,MI0000236,ARBOR RIDGE CONDOMINIUMS,ARBOR RIDGE CONDOMINIUMS,JACKSON,2019-12-31,2019,44.0,True,,2025.0,,,,,
MI0000236,MI0000236,ARBOR RIDGE CONDOMINIUMS,ARBOR RIDGE CONDOMINIUMS,JACKSON,2020-06-30,2020,2.0,False,,2025.0,,,,,
MI0000236,MI0000236,ARBOR RIDGE CONDOMINIUMS,ARBOR RIDGE CONDOMINIUMS,JACKSON,2021-06-30,2021,2.0,False,,2025.0,,,,,
MI0000236,MI0000236,ARBOR RIDGE CONDOMINIUMS,ARBOR RIDGE CONDOMINIUMS,JACKSON,2021-12-31,2021,3.0,False,,2025.0,,,,,
MI0000236,MI0000236,ARBOR RIDGE CONDOMINIUMS,ARBOR RIDGE CONDOMINIUMS,JACKSON,2024-12-31,2024,1.0,False,,2025.0,,,,,
MI0000240,MI0000240,"ARMADA, VILLAGE OF","ARMADA, VILLAGE OF",MACOMB,2018-12-31,2018,3.0,False,,2025.0,,,,,
MI0000240,MI0000240,"ARMADA, VILLAGE OF","ARMADA, VILLAGE OF",MACOMB,2021-12-31,2021,5.0,False,,2025.0,,,,,
MI0000240,MI0000240,"ARMADA, VILLAGE OF","ARMADA, VILLAGE OF",MACOMB,2024-12-31,2024,2.0,False,,2025.0,,,,,
MI0000242,MI0000242,ARTESIAN SPRINGS RV RESORT,ARTESIAN SPRINGS RV RESORT,EMMET,2023-12-31,2023,5.0,False,,2025.0,,,,,
MI0000242,MI0000242,ARTESIAN SPRINGS RV RESORT,ARTESIAN SPRINGS RV RESORT,EMMET,2024-06-30,2024,4.0,False,,2025.0,,,,,
MI0000242,MI0000242,ARTESIAN SPRINGS RV RESORT,ARTESIAN SPRINGS RV RESORT,EMMET,2024-06-30,2024,4.0,False,,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2017-12-31,2017,0.0,False,,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2019-12-31,2019,14.0,True,,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2020-12-31,2020,0.0,False,,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2021-12-31,2021,2.0,False,2.0,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2022-12-31,2022,1.0,False,,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2023-12-31,2023,1.0,False,2.0,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2024-12-31,2024,2.0,False,1.0,2025.0,,,,,
MI0000245,MI0000245,ASH TOWNSHIP,ASH TOWNSHIP,MONROE,2025-12-31,2025,8.0,False,,2025.0,49.0,3.0,905.0,957.0,True
MI0000250,MI0000250,"ASHLEY, VILLAGE OF","ASHLEY, VILLAGE OF",GRATIOT,2018-12-31,2018,2.0,False,,2025.0,,,,,
MI0000250,MI0000250,"ASHLEY, VILLAGE OF","ASHLEY, VILLAGE OF",GRATIOT,2021-12-31,2021,1.0,False,,2025.0,,,,,
MI0000250,MI0000250,"ASHLEY, VILLAGE OF","ASHLEY, VILLAGE OF",GRATIOT,2024-12-31,2024,1.0,False,,2025.0,,,,,
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2018-12-31,2018,2.0,False,,2025.0,,,,,
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2019-12-31,2019,0.0,False,,2025.0,,,,,
